ArtistId,Name,Songs
22,Led Zeppelin,114
150,U2,112
58,Deep Purple,92
90,Iron Maiden,81
118,Pearl Jam,54
152,Van Halen,52
51,Queen,45
142,The Rolling Stones,41
76,Creedence Clearwater Revival,40
52,Kiss,35
84,Foo Fighters,33
127,Red Hot Chili Peppers,31
100,Lenny Kravitz,30
139,The Cult,30
110,Nirvana,29
88,Guns N' Roses,28
59,Santana,27
130,Skank,23
144,The Who,20
1,AC/DC,18
114,Ozzy Osbourne,18
94,Jimi Hendrix,17
132,Soundgarden,17
78,Def Leppard,16
3,Aerosmith,15
82,Faith No More,15
111,O Terço,15
8,Audioslave,14
124,R.E.M.,14
126,Raul Seixas,14
128,Rush,14
141,The Police,14
4,Alanis Morissette,13
153,Velvet Revolver,13
5,Alice In Chains,12
55,David Coverdale,12
115,Page & Plant,12
179,Scorpions,12
134,Stone Temple Pilots,12
140,The Doors,11
92,Jamiroquai,10
95,Joe Satriani,10
102,Marillion,10
105,Men At Work,10
117,Paul D'Ianno,10
23,Frank Zappa & Captain Beefheart,9
120,Pink Floyd,9
136,"Terry Bozzio, Tony Levin & Steve Stevens",7
2,Accept,4
200,The Posies,2
157,Dread Zeppelin,1
